Source,Package name,Package ID,ISBN,Book Title,Year,ISSN,Series Title,Volume,Imprint,Editor(s)/Author(s),Available Online,Shortcut URL
S&T,eBook - Physics and Astronomy 2012,EBCPA12,9780444536815,Advanced Functional Materials,2012,1875-4023,"Science and Technology of Atomic, Molecular, Condensed Matter & Biological Systems",2C,Elsevier,Tara Prasad Das,31-Aug-2012,http://www.sciencedirect.com/science/book/9780444536815
S&T,eBook - Psychology 2012,EBCP12,9780123868848,Therapist's Guide to Pediatric Affect and Behavior Regulation,2012,1873-0450,Practical Resources for the Mental Health Professional,,Academic Press,"Johnson, Sharon",30-Nov-2012,http://www.sciencedirect.com/science/book/9780123868848
S&T,eBook - Biomedical Science and Medicine 2012,EBCMD12,9780123851833,Atlas of Hematopathology,2013,,,,Academic Press,"Faramarz Naeim, P. Nagesh Rao, Sophie Song and Wayne W. Grody",30-Nov-2012,http://www.sciencedirect.com/science/book/9780123851833
S&T,eBook - Biomedical Science and Medicine 2012,EBCMD12,9780123919342,Nutritional Management of Renal Disease,2013,,,,Academic Press,"Joel D. Kopple, Shaul G Massry and Kamyar Kalantar-Zadeh",30-Nov-2012,http://www.sciencedirect.com/science/book/9780123919342
S&T,eBook - Computer Science 2012,EBCCS12,9781597497404,Blackhatonomics,2012,,,,Syngress,,30-Nov-2012,http://www.sciencedirect.com/science/book/9781597497404
S&T,eBook - Engineering 2012,EBCE12,9780080970974,Understanding Automotive Electronics (Seventh Edition),2012,,,,Butterworth-Heinemann,,30-Nov-2012,http://www.sciencedirect.com/science/book/9780080970974
S&T,eBook - Engineering 2012,EBCE12,9780123821782,The Elements of Polymer Science & Engineering (Third Edition),2013,,,,Academic Press,"Rudin, Alfred",30-Nov-2012,http://www.sciencedirect.com/science/book/9780123821782
S&T,eBook - Engineering 2012,EBCE12,9781437734591,Microfluidic Cell Culture Systems,2011,,Micro and Nano Technologies,,William Andrew Publishing,,30-Nov-2012,http://www.sciencedirect.com/science/book/9781437734591
S&T,eBook - Engineering 2012,EBCE12,9781455725977,Handbook of Molded Part Shrinkage and Warpage,2013,,Plastics Design Library,,William Andrew Publishing,,30-Nov-2012,http://www.sciencedirect.com/science/book/9781455725977
S&T,eBook - Forensics 2012,EBCFOR12,9781437734904,Introduction to Criminal Justice (Seventh Edition),2012,,,,"Anderson Publishing, Ltd.",Lawrence F. Travis III,30-Nov-2012,http://www.sciencedirect.com/science/book/9781437734904
S&T,eBook - Engineering 2012,EBCE12,9781455725502,Micro-Drops and Digital Microfluidics (Second Edition),2013,,Micro and Nano Technologies,,William Andrew Publishing,Jean Berthier,30-Nov-2012,http://www.sciencedirect.com/science/book/9781455725502
S&T,eBook - Engineering 2012,EBCE12,9781455730582,Quantitative Data Processing in Scanning Probe Microscopy,2013,,Micro and Nano Technologies,,William Andrew Publishing,Petr Klapetek,30-Nov-2012,http://www.sciencedirect.com/science/book/9781455730582
S&T,eBook - Energy 2012,EBCEN12,9780124055193,Ready: Renewable Energy Action on Deployment,2013,,,,Academic Press,"IEA-RETD, Rolf  de Vos and Janet  Sawin",30-Nov-2012,http://www.sciencedirect.com/science/book/9780124055193
S&T,eBook - Chemistry 2012,EBCC12,9780080448602,Principles of Asymmetric Synthesis (Second Edition),2012,,,,Elsevier,,30-May-2012,http://www.sciencedirect.com/science/book/9780080448602
S&T,eBook - Earth and Planetary Sciences 2012,EBCEPS12,9780444563569,Regional Geology and Tectonics: Phanerozoic Rift Systems and Sedimentary Basins,2012,,,,Elsevier,"Roberts, David G.",30-May-2012,http://www.sciencedirect.com/science/book/9780444563569
S&T,eBook - Earth and Planetary Sciences 2012,EBCEPS12,9780123971609,Geophysical Data Analysis: Discrete Inverse Theory (Third Edition),2012,,,,Academic Press,,30-May-2012,http://www.sciencedirect.com/science/book/9780123971609
S&T,eBook - Engineering 2012,EBCE12,9780080972398,Ship Construction (Seventh Edition),2012,,,,Butterworth-Heinemann,,30-May-2012,http://www.sciencedirect.com/science/book/9780080972398
S&T,eBook - Chemistry 2012,EBCC12,9780123865373,Practical Process Research and Development (Second Edition),2012,,,,Academic Press,Neal G. Anderson,30-Mar-2012,http://www.sciencedirect.com/science/book/9780123865373
S&T,eBook - Computer Science 2012,EBCCS12,9780123814647,Information Visualization (Third Edition),2012,,Interactive Technologies,,Morgan Kaufmann,Colin Ware,30-Mar-2012,http://www.sciencedirect.com/science/book/9780123814647
S&T,eBook - Computer Science 2012,EBCCS12,9780123877956,User Experience in the Age of Sustainability,2012,,,,Morgan Kaufmann,Kem-Laurin Kramer,30-Mar-2012,http://www.sciencedirect.com/science/book/9780123877956
S&T,eBook - Engineering 2012,EBCE12,9780080969794,Materials for Automobile Bodies (Second Edition),2012,,,,Butterworth-Heinemann,"Davies, Geoffrey",30-Mar-2012,http://www.sciencedirect.com/science/book/9780080969794
S&T,eBook - Environmental Science 2012,EBCES12,9780444538680,Numerical Ecology,2012,0167-8892,Developments in Environmental Modelling,24C,Elsevier,"Pierre Legendre, Louis Legendre",30-Jul-2012,http://www.sciencedirect.com/science/book/9780444538680
S&T,eBook - Neuroscience 2012,EBCN12,9780444528988,Epilepsy,2012,0072-9752,Handbook of Clinical Neurology,107C,Elsevier,"Hermann Stefan, William H. Theodore",30-Aug-2012,http://www.sciencedirect.com/science/book/9780444528988
S&T,eBook - Neuroscience 2012,EBCN12,9780444528995,Epilepsy,2012,0072-9752,Handbook of Clinical Neurology,108C,Elsevier,"Hermann Stefan, William H. Theodore",30-Aug-2012,http://www.sciencedirect.com/science/book/9780444528995
S&T,eBook - Neuroscience 2012,EBCN12,9780124159013,Gap Junctions in the Brain,2013,,,,Academic Press,,30-Aug-2012,http://www.sciencedirect.com/science/book/9780124159013
S&T,eBook - Agricultural and Biological Sciences 2012,EBCABS12,9780123868954,Insect Pests of Potato,2013,,,,Academic Press,,30-Aug-2012,http://www.sciencedirect.com/science/book/9780123868954
S&T,eBook - Computer Science 2012,EBCCS12,9780124158429,Computer Animation (Third Edition),2012,,MK18/The Morgan Kaufmann Series in Computer Graphics,,Morgan Kaufmann,"Parent, Rick",30-Aug-2012,http://www.sciencedirect.com/science/book/9780124158429
S&T,eBook - Engineering 2012,EBCE12,9780080970936,Ship Stability for Masters and Mates (Seventh Edition),2012,,,,Butterworth-Heinemann,,30-Aug-2012,http://www.sciencedirect.com/science/book/9780080970936
S&T,eBook - Engineering 2012,EBCE12,9781455728343,Handbook of Biopolymers and Biodegradable Plastics,2013,,,,William Andrew Publishing,,30-Aug-2012,http://www.sciencedirect.com/science/book/9781455728343
S&T,eBook - Engineering 2012,EBCE12,9780123982964,"Metaheuristics in Water, Geotechnical and Transport Engineering",2013,,,,Elsevier,,30-Aug-2012,http://www.sciencedirect.com/science/book/9780123982964
S&T,eBook - Finance 2012,EBCF12,9780123918802,Financial Trading and Investing,2013,,,,Academic Press,,30-Aug-2012,http://www.sciencedirect.com/science/book/9780123918802
S&T,eBook - Materials Science 2012,EBCMS12,9781437734553,Handbook of Environmental Degradation of Materials (Second Edition),2013,,,,William Andrew Publishing,,30-Aug-2012,http://www.sciencedirect.com/science/book/9781437734553
S&T,eBook - Computer Science 2012,EBCCS12,9781597499514,Hacking Web Apps,2012,,,,Syngress,,30-Aug-2012,http://www.sciencedirect.com/science/book/9781597499514
S&T,eBook - Agricultural and Biological Sciences 2012,EBCABS12,9780123985156,"Pests of Ornamental Trees, Shrubs and Flowers (Second Edition)",2012,,,,Academic Press,,30-Aug-2012,http://www.sciencedirect.com/science/book/9780123985156
S&T,eBook - Energy 2012,EBCEN12,9780124017214,Shale Oil Production Processes,2013,,,,Gulf Professional Publishing,,30-Aug-2012,http://www.sciencedirect.com/science/book/9780124017214
S&T,eBook - Physics and Astronomy 2012,EBCPA12,9780123979124,Quantum Theory of Anharmonic Effects in Molecules,2012,,,,Elsevier,,29-Jun-2012,http://www.sciencedirect.com/science/book/9780123979124
S&T,eBook - Agricultural and Biological Sciences 2012,EBCABS12,9780123869418,Hydropedology,2012,,,,Academic Press,,29-Jun-2012,http://www.sciencedirect.com/science/book/9780123869418
S&T,eBook - Computer Science 2012,EBCCS12,9780123859303,Letting Go of the Words (Second Edition),2012,,Interactive Technologies,,Morgan Kaufmann,,29-Jun-2012,http://www.sciencedirect.com/science/book/9780123859303
S&T,eBook - Engineering 2012,EBCE12,9780123865359,DSP for Embedded and Real-Time Systems,2012,,,,Newnes,"Oshana, Robert",29-Jun-2012,http://www.sciencedirect.com/science/book/9780123865359
S&T,eBook - Engineering 2012,EBCE12,9781437778151,Clean Electricity Through Advanced Coal Technologies,2011,,,,William Andrew Publishing,,29-Jun-2012,http://www.sciencedirect.com/science/book/9781437778151
S&T,eBook - Physics and Astronomy 2012,EBCPA12,9780123985057,Magnetic Positioning Equations,2012,,,,Academic Press,,29-Jun-2012,http://www.sciencedirect.com/science/book/9780123985057
S&T,"eBook - Pharmacology, Toxicology and Pharmaceutical Science 2012",EBCPTPS12,9780123869401,Adverse Effects of Engineered Nanomaterials,2012,,,,Academic Press,"Bengt Fadeel, Antonio Pietroiusti and Anna Shvedova",29-Feb-2012,http://www.sciencedirect.com/science/book/9780123869401
